Name,Class,Role,Tier,Score,Trend,Win_Percetage,Role_Percetage,Pick_Percetage,Ban_Percetage,KDA
Aatrox,Fighter,TOP,A,53.65,0,0.4817,0.9275,0.051399999999999994,0.066,1.85
Ahri,Mage,MID,S,55.93,0,0.4989,0.9041,0.0901,0.0254,2.61
Akali,Assassin,MID,A,50.75,0,0.4829,0.7188,0.0691,0.1101,2.36
Akshan,Marksman,MID,A,50.47,0,0.5167,0.6515000000000001,0.0248,0.0347,2.27
Alistar,Tank,SUPPORT,B,47.31,0,0.495,0.8158,0.037000000000000005,0.0088,2.44
Amumu,Tank,JUNGLE,S,60.24,0,0.5196999999999999,0.5891,0.0516,0.0803,2.69
Anivia,Mage,MID,S,55.34,0,0.5219,0.8419,0.0325,0.0463,3.01
Annie,Mage,SUPPORT,God,75.81,0,0.5549000000000001,0.49570000000000003,0.0679,0.1744,2.74
Aphelios,Marksman,ADC,D,29.5,0,0.4768,0.9653,0.0358,0.0051,1.93
Ashe,Marksman,SUPPORT,God,81.99,0,0.502,0.6711,0.1183,0.1461,2.39
Aurelion Sol,Mage,MID,God,92.92,0,0.5115999999999999,0.8173999999999999,0.21059999999999998,0.5138,2.54
Azir,Mage,MID,C,38.64,0,0.45039999999999997,0.9112,0.0253,0.0052,2.04
Bard,Support,SUPPORT,B,43.91,0,0.48619999999999997,0.9675,0.0255,0.0034999999999999996,2.86
Bel'Veth,Fighter,JUNGLE,B,44.11,0,0.4951,0.9101,0.035,0.060899999999999996,2.3
Blitzcrank,Tank,SUPPORT,S,66.47,0,0.5131,0.9726,0.07150000000000001,0.1705,2.43
Brand,Mage,SUPPORT,B,43.96,0,0.5024000000000001,0.7570999999999999,0.0305,0.036000000000000004,1.81
Braum,Support,SUPPORT,A,49.06,0,0.5163,0.9865,0.0242,0.0033,2.83
Caitlyn,Marksman,ADC,God,92.85,0,0.4991,0.9392,0.2158,0.21059999999999998,2.28
Camille,Fighter,TOP,S,58.85,0,0.5047999999999999,0.9428,0.0535,0.023399999999999997,1.96
Cassiopeia,Mage,MID,A,51.34,0,0.5226,0.7879,0.024,0.0168,2.29
Cho'Gath,Tank,MID,B,45.06,0,0.4941,0.19039999999999999,0.0044,0.005699999999999999,2.38
Corki,Marksman,MID,B,43.91,0,0.4874,0.8843000000000001,0.0086,0.0013,2.27
Darius,Fighter,TOP,God,77.52,0,0.49369999999999997,0.9470000000000001,0.09050000000000001,0.21280000000000002,1.83
Diana,Fighter,JUNGLE,S,55.12,0,0.5077,0.7005,0.0513,0.0368,2.5
Dr. Mundo,Marksman,TOP,A,53.57,0,0.5249,0.8761,0.028399999999999998,0.0391,1.91
Draven,Fighter,ADC,A,49.12,0,0.4966,0.9591,0.0717,0.2151,2.11
Ekko,Assassin,JUNGLE,S,62.04,0,0.5036,0.7173,0.0642,0.053899999999999997,2.72
Elise,Mage,JUNGLE,God,75.59,0,0.5181,0.9734999999999999,0.0664,0.18789999999999998,2.82
Evelynn,Assassin,JUNGLE,A,52.09,0,0.4982,0.9742000000000001,0.042300000000000004,0.0745,2.91
Ezreal,Marksman,ADC,God,70.56,0,0.4874,0.9481999999999999,0.1804,0.032400000000000005,2.4
Fiddlesticks,Mage,JUNGLE,B,47.56,0,0.5034000000000001,0.8198000000000001,0.0345,0.0281,2.72
Fiora,Fighter,TOP,God,67.08,0,0.5065999999999999,0.9754999999999999,0.06709999999999999,0.1602,1.72
Fizz,Assassin,MID,A,48.85,0,0.4991,0.9427,0.0296,0.0331,2.44
Galio,Tank,MID,A,48.73,0,0.4993,0.7998000000000001,0.0194,0.0031,2.68
Gangplank,Fighter,TOP,God,75.66,0,0.5029,0.8112999999999999,0.0891,0.1315,1.96
Garen,Fighter,TOP,S,56.79,0,0.4946,0.8765999999999999,0.0527,0.0166,2.03
Gnar,Fighter,TOP,B,46.32,0,0.48479999999999995,0.9669,0.0327,0.0044,1.85
Gragas,Fighter,JUNGLE,A,49.13,0,0.5101,0.4964,0.0323,0.0124,2.95
Graves,Marksman,JUNGLE,B,46.78,0,0.4718,0.8828,0.0508,0.0204,2.52
Gwen,Fighter,TOP,B,47.75,0,0.5028,0.8966,0.0279,0.008,1.77
